,ADAUSDT,AVAXUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,DOTUSDT,ETHUSDT,LUNAUSDT,SOLUSDT,XRPUSDT,total,total_sum
221,-0.0,-0.001,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.047,7.073
222,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.0,-0.001,-0.0,-0.147,6.926
223,-0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.128,7.054
224,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.05,7.104
225,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.002,0.0,-0.0,0.0,-0.114,6.99
226,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.129,7.119
227,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.028,7.146999999999999
228,-0.001,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.054,7.092999999999999
229,0.0,0.001,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.083,7.175999999999999
230,0.0,-0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.105,7.070999999999999
231,0.0,-0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.058,7.128999999999999
232,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,-0.0,0.065,7.193999999999999
233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.042,7.235999999999999
234,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.001,0.07,7.305999999999999
235,-0.0,0.0,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.114,7.191999999999999
236,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.041,7.150999999999999
237,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.001,-0.146,7.004999999999999
238,-0.0,-0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.046,6.958999999999999
239,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007,6.951999999999999
240,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.142,7.093999999999999
