,ADAUSDT,AVAXUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,DOTUSDT,ETHUSDT,LUNAUSDT,SOLUSDT,XRPUSDT
209-214,0.461,0.0,0.0,0.189,0.0,0.0,0.35,0.0,0.0,0.0
210-215,0.0,0.0,0.388,0.338,0.274,0.0,0.0,0.0,0.0,0.0
211-216,0.0,0.0,0.439,0.355,0.13,0.076,0.0,0.0,0.0,0.0
212-217,0.154,0.0,0.633,0.0,0.0,0.213,0.0,0.0,0.0,0.0
213-218,0.0,0.0,0.915,0.0,0.0,0.0,0.085,0.0,0.0,0.0
214-219,0.0,0.573,0.181,0.121,0.0,0.0,0.125,0.0,0.0,0.0
215-220,0.0,0.339,0.0,0.0,0.0,0.0,0.661,0.0,0.0,0.0
216-221,0.0,0.0,0.0,0.0,0.0,0.0,0.677,0.0,0.323,0.0
217-222,0.0,0.45,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0
218-223,0.0,0.322,0.0,0.0,0.0,0.0,0.678,0.0,0.0,0.0
219-224,0.0,0.008,0.0,0.0,0.0,0.0,0.992,0.0,0.0,0.0
220-225,0.107,0.043,0.0,0.0,0.0,0.0,0.384,0.0,0.0,0.466
221-226,0.219,0.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217
222-227,0.48,0.314,0.0,0.0,0.0,0.206,0.0,0.0,0.0,0.0
223-228,0.0,0.391,0.458,0.0,0.0,0.151,0.0,0.0,0.0,0.0
224-229,0.0,0.191,0.599,0.0,0.0,0.21,0.0,0.0,0.0,0.0
225-230,0.172,0.105,0.0,0.0,0.0,0.723,0.0,0.0,0.0,0.0
226-231,0.0,0.05,0.0,0.212,0.073,0.664,0.0,0.0,0.0,0.0
227-232,0.0,0.054,0.0,0.0,0.0,0.581,0.0,0.0,0.0,0.365
228-233,0.0,0.094,0.0,0.065,0.232,0.0,0.0,0.0,0.0,0.608
229-234,0.056,0.0,0.0,0.471,0.053,0.0,0.0,0.0,0.0,0.42
230-235,0.0,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.643
231-236,0.0,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698
232-237,0.0,0.183,0.0,0.0,0.0,0.0,0.0,0.0,0.687,0.13
233-238,0.0,0.368,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.0
234-239,0.0,0.368,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.0
235-240,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236-241,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237-242,0.0,0.068,0.207,0.0,0.0,0.0,0.169,0.29,0.053,0.213
238-243,0.0,0.339,0.118,0.0,0.0,0.0,0.088,0.343,0.0,0.112
239-244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
240-245,0.0,0.183,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.728
241-246,0.0,0.14,0.0,0.0,0.048,0.0,0.262,0.0,0.0,0.55
242-247,0.0,0.152,0.0,0.0,0.0,0.002,0.382,0.0,0.0,0.465
243-248,0.0,0.182,0.141,0.0,0.0,0.077,0.0,0.0,0.6,0.0
244-249,0.0,0.339,0.0,0.599,0.0,0.062,0.0,0.0,0.0,0.0
245-250,0.0,0.284,0.0,0.256,0.219,0.0,0.24,0.0,0.0,0.0
246-251,0.0,0.0,0.0,0.265,0.448,0.0,0.288,0.0,0.0,0.0
247-252,0.0,0.03,0.0,0.0,0.711,0.0,0.259,0.0,0.0,0.0
248-253,0.353,0.148,0.0,0.0,0.0,0.0,0.0,0.499,0.0,0.0
249-254,0.0,0.241,0.0,0.495,0.0,0.0,0.264,0.0,0.0,0.0
250-255,0.0,0.0,0.0,0.828,0.172,0.0,0.0,0.0,0.0,0.0
251-256,0.0,0.0,0.0,0.905,0.095,0.0,0.0,0.0,0.0,0.0
252-257,0.0,0.0,0.0,0.877,0.123,0.0,0.0,0.0,0.0,0.0
253-258,0.0,0.0,0.0,0.0,0.0,0.0,0.913,0.087,0.0,0.0
254-259,0.0,0.106,0.0,0.0,0.658,0.221,0.0,0.015,0.0,0.0
255-260,0.0,0.0,0.0,0.0,0.0,0.0,0.951,0.049,0.0,0.0
256-261,0.0,0.0,0.0,0.0,0.0,0.0,0.451,0.0,0.549,0.0
257-262,0.0,0.0,0.0,0.0,0.0,0.0,0.483,0.0,0.517,0.0
258-263,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
259-264,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.059,0.847,0.0
260-265,0.0,0.567,0.0,0.071,0.0,0.0,0.0,0.0,0.362,0.0
261-266,0.0,0.308,0.268,0.0,0.0,0.0,0.0,0.132,0.0,0.291
262-267,0.0,0.146,0.238,0.0,0.124,0.0,0.0,0.493,0.0,0.0
263-268,0.0,0.148,0.0,0.0,0.852,0.0,0.0,0.0,0.0,0.0
264-269,0.0,0.0,0.346,0.0,0.408,0.0,0.0,0.0,0.246,0.0
265-270,0.0,0.0,0.0,0.0,0.607,0.0,0.0,0.0,0.393,0.0
266-271,0.0,0.0,0.0,0.0,0.498,0.0,0.0,0.0,0.501,0.0
267-272,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.54,0.0
268-273,0.0,0.0,0.0,0.0,0.123,0.0,0.0,0.0,0.422,0.455
269-274,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.355,0.066,0.424
270-275,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
271-276,0.0,0.0,0.0,0.0,0.0,0.012,0.22,0.128,0.0,0.64
272-277,0.0,0.0,0.0,0.13,0.0,0.115,0.047,0.175,0.0,0.533
273-278,0.013,0.0,0.0,0.0,0.0,0.0,0.266,0.357,0.0,0.364
274-279,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
275-280,0.0,0.0,0.967,0.0,0.033,0.0,0.0,0.0,0.0,0.0
276-281,0.0,0.0,0.647,0.0,0.0,0.0,0.353,0.0,0.0,0.0
277-282,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278-283,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279-284,0.0,0.0,0.0,0.0,0.143,0.0,0.366,0.491,0.0,0.0
280-285,0.28,0.0,0.0,0.0,0.345,0.0,0.0,0.0,0.0,0.375
281-286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
282-287,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
283-288,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
284-289,0.0,0.0,0.0,0.63,0.0,0.0,0.362,0.0,0.009,0.0
285-290,0.0,0.0,0.0,0.0,0.544,0.0,0.0,0.0,0.456,0.0
286-291,0.0,0.0,0.0,0.0,0.854,0.0,0.066,0.0,0.08,0.0
287-292,0.339,0.0,0.0,0.0,0.661,0.0,0.0,0.0,0.0,0.0
288-293,0.034,0.0,0.0,0.0,0.751,0.0,0.215,0.0,0.0,0.0
289-294,0.0,0.0,0.0,0.0,0.262,0.0,0.31,0.0,0.428,0.0
290-295,0.474,0.0,0.0,0.234,0.098,0.0,0.0,0.024,0.169,0.0
291-296,0.302,0.05,0.002,0.17,0.022,0.106,0.073,0.213,0.004,0.06
292-297,0.121,0.115,0.03,0.168,0.032,0.126,0.055,0.255,0.016,0.083
